Date,Time,"Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Core 4 Clock [MHz]","Core 5 Clock [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","System Agent Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Core 4 T0 Effective Clock [MHz]","Core 4 T1 Effective Clock [MHz]","Core 5 T0 Effective Clock [MHz]","Core 5 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Core 4 T0 Usage [%]","Core 4 T1 Usage [%]","Core 5 T0 Usage [%]","Core 5 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 4 [°C]","Core 5 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","Core 4 Distance to TjMAX [°C]","Core 5 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","Motherboard [°C]","CPU [°C]","Auxiliary [°C]","AUXTIN1 [°C]","AUXTIN2 [°C]","AUXTIN3 [°C]","CPU (PECI) [°C]","CPU1 [RPM]","Chassis2 [RPM]","PCH Temperature [°C]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Temperature [°C]","Drive Temperature [°C]","Drive Temperature [°C]","GPU Temperature [°C]","GPU Fan [RPM]",
24.9.2021,15:7:29.170,3998.0,3998.0,3998.0,3998.0,3998.0,3998.0,100.0,3698.2,799.6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62,61,57,57,54,54,38,39,43,43,46,46,62,62,61,61,37,39.0,37.0,23.0,94.0,14.0,12.0,61.0,1093,1804,56.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:31.466,3998.0,3998.0,3998.0,3998.0,3998.0,3998.0,100.0,3698.2,799.6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,57,54,53,39,40,43,43,46,47,61,61,60,60,36,39.0,37.0,23.0,94.0,14.0,12.0,60.0,1028,1804,56.0,43,43,37,43,44,57,1495,
24.9.2021,15:7:33.772,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,3700.0,800.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,58,54,53,39,40,43,42,46,47,61,61,61,61,37,39.0,38.0,23.0,94.0,14.0,12.0,60.0,1030,1807,58.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:36.145,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,100.0,3700.9,800.2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,57,54,53,39,40,43,43,46,47,61,61,61,61,37,39.0,38.0,23.0,94.0,14.0,12.0,61.0,1098,1812,57.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:38.449,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,3700.0,800.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,56,56,54,53,39,40,44,44,46,47,61,61,61,61,37,39.0,38.0,23.0,94.0,14.0,12.0,61.0,1099,1802,56.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:40.755,3998.0,3998.0,3998.0,3998.0,3998.0,3998.0,100.0,3698.2,799.6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,57,54,54,39,40,43,43,46,46,61,61,61,61,37,39.0,38.0,23.0,94.0,14.0,12.0,60.0,1105,1802,56.0,43,43,37,43,44,57,1492,
24.9.2021,15:7:43.061,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,100.0,3700.9,800.2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,58,57,54,53,39,40,42,43,46,47,61,61,61,61,37,39.0,39.0,23.0,94.0,14.0,12.0,61.0,1098,1816,56.0,43,43,37,43,44,57,1494,
24.9.2021,15:7:45.373,3998.0,3998.0,3998.0,3998.0,3998.0,3998.0,100.0,3698.2,799.6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,57,55,53,39,40,43,43,45,47,61,61,60,60,37,39.0,39.0,23.0,94.0,14.0,12.0,61.0,1090,1814,58.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:47.672,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,100.0,3700.9,800.2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61,60,57,57,55,54,39,40,43,43,45,46,61,61,61,61,38,39.0,39.0,23.0,94.0,14.0,12.0,61.0,1093,1807,56.0,43,43,37,43,44,57,1493,
24.9.2021,15:7:49.986,3998.0,3998.0,3998.0,3998.0,3998.0,3998.0,100.0,3698.2,799.6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60,60,57,57,54,54,40,40,43,43,46,46,61,60,61,61,37,39.0,39.0,23.0,94.0,14.0,12.0,60.0,1097,1797,56.0,43,43,37,43,44,57,1492,
